year,month,branch_id,salary_per_hour
2019,12,1,64509
2019,12,2,75697
2019,12,3,86206
2019,12,2590,61618
2019,12,2623,67470
2019,12,2625,69767
2019,12,2626,59276
2019,12,2629,71974
2019,12,2630,75091
2019,12,2631,54117
2019,12,2633,69444
2019,12,2634,58139
2019,12,2635,63963
2019,12,3092,52168
2019,12,12722,39772
2019,10,1,64820
2019,10,2,81511
2019,10,3,78703
2019,10,2590,56888
2019,10,2623,48712
2019,10,2625,60810
2019,10,2626,65868
2019,10,2629,80102
2019,10,2630,75460
2019,10,2631,53179
2019,10,2633,65764
2019,10,2634,59523
2019,10,2635,57956
2019,10,3092,57142
2019,10,12722,46052
2019,8,1,247126
2019,8,2,274809
2019,11,1,61127
2019,11,2,57401
2019,11,3,94117
2019,11,2590,62831
2019,11,2623,57053
2019,11,2625,67975
2019,11,2626,59276
2019,11,2629,65881
2019,11,2630,81564
2019,11,2631,53864
2019,11,2633,68756
2019,11,2634,62500
2019,11,2635,60450
2019,11,3092,46662
2019,11,12722,42944
2020,3,2,57706
2020,3,2633,65789
2020,3,2626,45532
2020,3,2625,58152
2020,3,2590,68181
2020,3,2623,63179
2020,3,2630,64397
2020,3,2635,44573
2020,3,3092,55889
2020,3,2631,50163
2020,3,3,63745
2020,3,2634,63694
2020,3,1,53333
2020,3,2629,62345
2020,3,12722,39106
2020,4,2631,50383
2020,4,2623,72660
2020,4,12722,37837
2020,4,3,53571
2020,4,2635,44145
2020,4,2625,51051
2020,4,2626,47747
2020,4,3092,56776
2020,4,2633,72674
2020,4,2629,63843
2020,4,2,63829
2020,4,2630,68946
2020,4,1,47921
2020,4,2634,63694
2020,4,2590,63755
2020,6,2590,60194
2020,6,2625,55075
2020,6,2635,45009
2020,6,3092,55555
2020,6,2623,59624
2020,6,3,62003
2020,6,1,49131
2020,6,2630,57569
2020,6,2626,47790
2020,6,2633,69676
2020,6,2629,65456
2020,6,2631,51167
2020,6,2,55138
2020,7,2630,61016
2020,7,2623,54264
2020,7,2625,57110
2020,7,2631,52154
2020,7,2,53289
2020,7,2590,58823
2020,7,2629,62655
2020,7,1,48202
2020,7,3092,52483
2020,7,2633,69137
2020,7,3,49763
2020,7,2635,43726
2020,7,2626,50189
2020,2,1,64978
2020,2,2,66925
2020,2,3,79192
2020,2,2590,59370
2020,2,2623,54545
2020,2,2625,65406
2020,2,2626,50669
2020,2,2629,71951
2020,2,2630,71098
2020,2,2631,55222
2020,2,2633,75210
2020,2,2634,56818
2020,2,2635,46184
2020,2,3092,47246
2020,2,12722,39548
2020,5,1,60422
2020,5,2,79016
2020,5,3,64569
2020,5,2590,66265
2020,5,2623,71313
2020,5,2625,54897
2020,5,2626,48269
2020,5,2629,76864
2020,5,2630,75738
2020,5,2631,53738
2020,5,2633,73529
2020,5,2634,100000
2020,5,2635,56650
2020,5,3092,65308
2020,5,12722,66666
2020,8,1,56736
2020,8,2,64110
2020,8,3,56475
2020,8,2590,63112
2020,8,2623,57119
2020,8,2625,60642
2020,8,2626,51506
2020,8,2629,68059
2020,8,2630,63454
2020,8,2631,55023
2020,8,2633,71265
2020,8,2635,52995
2020,8,3092,58197
2020,8,11265,1222222
2020,8,12722,41420
2020,9,1,47848
2020,9,2,58510
2020,9,3,45620
2020,9,2590,59059
2020,9,2623,43510
2020,9,2625,59164
2020,9,2626,51406
2020,9,2629,62461
2020,9,2630,63679
2020,9,2631,53990
2020,9,2633,72337
2020,9,2635,44747
2020,9,3092,51136
2020,9,11265,56122
2020,9,12722,36458
2019,9,1,212135
2019,9,2,178062
2019,9,3,254545
2019,9,2590,386046
2019,9,2623,367283
2019,9,2625,412844
2019,9,2626,290760
2019,9,2629,412500
2019,9,2630,500000
2019,9,2631,308724
2019,9,2633,330769
2019,9,2634,370370
2019,9,2635,1404761
2019,9,3092,176056
2019,9,12722,291666
2020,10,1,55612
2020,10,2,58044
2020,10,3,54190
2020,10,2590,58214
2020,10,2623,51812
2020,10,2625,55254
2020,10,2626,50717
2020,10,2629,69463
2020,10,2630,62645
2020,10,2631,51977
2020,10,2633,71756
2020,10,2635,43809
2020,10,3092,54726
2020,10,11265,62857
2020,10,12722,37433
2020,11,1,51365
2020,11,2,57608
2020,11,3,50471
2020,11,2590,80000
2020,11,2623,68057
2020,11,2625,103448
2020,11,2626,73816
2020,11,2629,74870
2020,11,2630,100185
2020,11,2631,77702
2020,11,2633,111607
2020,11,2635,74918
2020,11,3092,69389
2020,11,11265,57894
2020,11,12722,57377
2020,12,1,90988
2020,12,2,110047
2020,12,3,73242
2020,12,2590,191449
2020,12,2623,153415
2020,12,2625,172881
2020,12,2626,156934
2020,12,2629,140789
2020,12,2630,190140
2020,12,2631,182539
2020,12,2633,233208
2020,12,2635,168367
2020,12,3092,169662
2020,12,11265,98214
2020,12,12722,90909
2020,1,2634,47619
2020,1,2635,46092
2020,1,2590,58907
2020,1,2629,58907
2020,1,12722,57377
2020,1,2623,56381
2020,1,3092,49222
2020,1,2630,68181
2020,1,2,68716
2020,1,2626,47237
2020,1,3,80541
2020,1,2625,64935
2020,1,2631,49837
2020,1,2633,66489
2020,1,1,56011
